Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP (current LCU) [NY.GDP.MKTP.CN],GDP per capita (constant LCU) [NY.GDP.PCAP.KN],General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]
2013,YR2013,Brunei Darussalam,BRN,18094148099.4922,44003.0644293856,411202,-3.46841867172043,83237.1470918238,34227281358.4521,-2.12478318620758,22638782901.0493,46572.9947546984,20.164379949014,2.27750759504916
2013,YR2013,Israel,ISR,298478070673.058,37034.3161080785,8059500,2.16142471851542,34827.3647351146,280691146082.656,4.08570918638205,1077732181000,143553.132576463,22.0526120672646,5.45896905535838
2013,YR2013,Kuwait,KWT,174168116687.215,49651.0439709448,3507844,-3.77371652171666,76812.5388002445,269446403355.205,1.14946534308449,49392162043.2106,11149.7124365496,16.3868418898512,3.27153182701652
2013,YR2013,Monaco,MCO,6555591709.88585,184940.663804718,35447,7.3019059415093,..,..,9.57709832354816,4936000000,150937.295116653,..,..
2013,YR2013,Oman,OMN,89936020806.2419,23458.0233840053,3833913,-2.64416002304453,47013.4730934385,180245565668.084,5.22770408145942,34580400000,8083.7515092283,18.8971209124244,9.74727260107489
2013,YR2013,Qatar,QAT,198727642967.033,103697.008372373,1916426,-5.12874719234584,169203.26105805,324265528776.434,5.55604064306607,723368620400,307066.230577126,14.5557407427733,..
2013,YR2013,Singapore,SGP,307576360584.992,56967.4257940383,5399162,3.13397914899265,83088.3185411658,448607292111.358,4.81763099120676,384870300000,73276.7603565146,9.74421772737465,3.03849114883637
2013,YR2013,United Arab Emirates,ARE,400218529748.128,52023.5170959441,7693031,0.937160700846491,85514.802433677,657868026081.152,5.05555965807969,1469802550500,162824.914042333,10.7069213443986,6.03468625064444
2013,YR2013,Afghanistan,AFG,20146416757.5987,637.087099117099,31622704,2.0520682606117,2133.24127098647,67458857272.9888,5.60074465863221,1138809791300,39124.7894392586,..,1.07694976762403
2013,YR2013,Arab World,ARB,2874275588328.11,7351.94811264419,390954281,0.053582125207015,15993.7428542785,6252822238093.32,2.65952310972671,..,..,17.1784232958197,5.71991699449191
2013,YR2013,Bangladesh,BGD,149998957434.186,958.262989798283,156532141,5.02341839695075,3691.10431102117,577776460458.473,6.01360565834344,11989231719000,109552.451403575,5.11613164192944,1.11372942922328
